x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-8057639.476240688,-2146597.4805626716,44781587509.78788,-36375573599.389145,-52553589253.33308,-92629164992.41208,11323036609.546547,146805394540.1621,-224961873891.93726,-7091663216.230587,-691353752576.5354,-339013737114.14795,-1335181389165.1382,-457683914864.1805,-1026833970702.012,-2647995026317.902,-3162053507556.7495,3262781992444.4473
-8762568.199623343,-2369979.108617582,53767883506.07505,-21627457400.039684,-41156227679.18676,-98217737854.46059,541023294.2771473,147194940639.138,-224482054921.66553,-15787039543.967772,-689267412982.614,-343227357528.2094,-1334049679913.412,-460964784799.7671,-1024547766501.5781,-2648880173260.3335,-3163457149983.189,3261421459781.1606
-9495378.414573753,-2607902.4635727727,58026481713.22226,-4978224360.093769,-29175537492.435604,-102413886441.13474,-10243961912.093052,146794392673.841,-223665040919.18118,-24458732292.399445,-687155237495.1788,-347428109162.13226,-1332909811053.2356,-464242841495.4099,-1022260796411.2153,-2649763336780.797,-3164860214437.4053,3260060330901.13
-10255700.348550014,-2860435.603488429,57257993289.79034,12101984073.961424,-16781347868.706156,-105157999493.31177,-20973984446.76078,145605175631.94205,-222511886840.8638,-33093694846.324257,-685017304860.5215,-351615834239.32855,-1331761789551.4597,-467518065053.58435,-1019973062139.177,-2650644516207.641,-3166262700664.262,3258698606054.643
-11043220.585593242,-3127609.019194836,51600951056.87166,28148888379.48262,-4149405420.521328,-106411201089.77467,-31591301574.10379,143632975627.6047,-221024150179.4169,-41678921655.64114,-682853694775.9344,-355790375457.2022,-1330605622424.941,-470790435592.5774,-1017684565394.2544,-2651523710870.6445,-3167664608408.7295,3257336285492.0938
-11857681.389961954,-3409434.072585421,41595713716.508026,41824050624.32478,8541172665.245241,-106155912230.3777,-42038678388.058,140887724068.60287,-219203889755.09055,-50201467443.389565,-680664487886.9176,-359951575992.75684,-1329441316740.469,-474059933246.5705,-1015395307885.7755,-2652400920101.0146,-3169065937415.881,3255973369463.9805
-12698875.767987607,-3705918.4108877815,28121909215.382843,52012328708.121056,21110494216.606613,-104396094875.46225,-52259703176.63652,137383557945.294,-217053663782.3915,-58648466413.60397,-678449765784.3574,-364099279508.193,-1328268879614.693,-477326538165.7234,-1013105291323.6038,-2653276143231.3906,-3170466687430.8965,3254609858220.9077
-13566639.804782022,-4017078.0682899817,12319263422.362667,57895016851.97926,33380495591.60565,-101157175230.78017,-62199100274.011024,133138756156.79834,-214576527208.16397,-67007151432.45052,-676209611001.6794,-368233330156.4952,-1327088318214.049,-480590230516.2589,-1010814517418.1368,-2654149379595.8433,-3171866858199.0605,3253245752013.5845
-14460843.352988066,-4342946.446503713,-4501114638.659014,58999861709.07671,45177512390.67976,-96485648593.61134,-71803038497.16653,128175651948.17838,-211776028317.85077,-75264873155.57292,-673944107011.9741,-372353572587.00714,-1325899639754.6848,-483850990480.5495,-1008522987880.305,-2655020628529.876,-3173266449465.7637,3251881051092.8247
-15381379.668899184,-4683580.4758121,-20950841789.585175,55229884532.86166,56334777519.825356,-90448373493.23413,-81019433250.86949,122520521697.94667,-208656204607.7189,-83409119074.07117,-671653338225.0973,-376459851950.99567,-1324702851502.387,-487108798257.2044,-1006230704421.5702,-2655889889370.4253,-3174665460976.502,3250515755709.548
-16328154.255392969,-5039064.095110419,-35661666713.19147,46872029284.66756,66694808411.787,-83131568036.54387,-89798240384.99231,116203450466.45337,-205221577921.85455,-91427532451.08076,-669337389984.7455,-380552013907.20264,-1323497960772.5066,-490363634061.15845,-1003937668753.9238,-2656757161455.8623,-3176063892476.877,3249149866114.7783
-17301073.073067628,-5409508.88573756,-47384702495.71389,34584891575.86737,76111647575.48401,-74639526188.29733,-98091739898.24484,109258174885.34506,-201477148853.81174,-99307931120.52396,-666996348565.5074,-384629904627.3856,-1322284974929.887,-493615478123.76166,-1001643882589.8859,-2657622444125.993,-3177461743712.5957,3247783382559.6455
-18300030.45357704,-5795051.392606409,-55089017088.7207,19363026342.02369,84452923634.34119,-65093076072.255165,-105854807610.53302,101721904125.65564,-197428390413.9534,-107038326119.28706,-664630301169.8927,-388693370801.84705,-1321063901388.7903,-496864310692.8702,-999349347642.5032,-2658485736722.0596,-3178859014429.4717,3246416305295.3833
-19324897.47085462,-6195846.518151336,-58054618511.52258,2474492368.5826855,91601703534.71532,-54627806191.07864,-113045172994.03137,93635119843.3004,-193081240964.80023,-114606940123.8345,-662239335925.3394,-392742259644.9509,-1319834747612.8262,-500110112032.9373,-997054065625.3475,-2659347038586.74,-3180255704373.4243,3245048634573.3315
-20375512.103531133,-6612056.530983447,-55951441757.030304,-14630720198.602764,97458110548.17018,-43392088667.77989,-119623661440.44037,85041356187.14963,-188442096428.1355,-122002225662.00194,-659823541881.2023,-396776418900.6245,-1318597521114.8804,-503352862425.1054,-994758038252.5145,-2660206349064.152,-3181651813290.4785,3243680370644.934
-21451673.065736018,-7043835.805501646,-48892722880.58376,-30440231443.569508,101940686942.42108,-31544931171.304466,-125554419319.07164,75986961129.21948,-183517801769.0596,-129212883070.13557,-657383009005.7186,-400795696847.8407,-1317352229457.044,-506592542167.2972,-992461267238.6217,-2661063667499.85,-3183047340926.765,3242311513761.7397
-22553139.411172386,-7491312.400235803,-37449835474.89806,-43519623690.026375,104987484641.39253,-19253691087.627495,-130805120273.05103,66520840519.125656,-178315641763.05798,-136227878164.70242,-654917828182.9482,-404799942306.0776,-1316098880250.5408,-509829131574.3073,-990163754298.8068,-2661918993240.831,-3184442287028.522,3240942064175.4023
-23679637.629328057,-7954568.788683116,-22618059864.658836,-52659149485.89148,106556871725.34674,-6691686741.108543,-135347151322.94156,56694186398.985115,-172843331052.05756,-143036459596.91428,-652428091209.6804,-408789004640.75256,-1314837481155.6558,-513062610977.89374,-987865501148.7266,-2662772325635.532,-3185836651342.092,3239572022137.6797
-24830876.804536328,-8433625.051972255,-5729750335.222427,-57006324744.527374,106628047136.1645,5964258916.650768,-139155777486.9137,46560191245.417786,-167109003495.9923,-149628175860.21906,-649913890792.3042,-412762733768.634,-1313568039881.6614,-516292960726.86914,-985566509504.5553,-2663623664033.834,-3187230433613.925,3238201387900.435
-26006570.676895197,-8928428.11255509,11678118557.092297,-56162309035.03317,105201260360.98979,18536306711.04546,-142210283778.14014,36173749924.26832,-161121200829.40585,-155992891922.33417,-647375320543.6406,-416720980163.2347,-1312290564186.7427,-519520161187.1931,-983266781082.9833,-2664473007787.061,-3188623633590.5767,3236830161715.6357
-27206463.673186194,-9438849.804527448,28024296302.12346,-50224714612.99945,102297737094.02243,30848086817.706192,-144494093602.59686,25591151246.75329,-154888860635.93222,-162120805453.21408,-644812474979.7426,-420663594860.1928,-1311005061877.923,-522744192742.065,-980966317601.2155,-2665320356247.9844,-3190016251018.709,3235458343835.353
-28430356.863096733,-9964694.86036255,41846987699.15964,-39769859353.08096,97959315861.13725,42727147572.02825,-145994862753.02173,14869761101.469017,-148421303654.65555,-168002462619.0352,-642225449516.666,-424590429462.63995,-1309711540810.9888,-525965035792.0174,-978665120776.9701,-2666165708770.8213,-3191408285645.091,3234085934511.7627
-29678129.8086643,-10505717.832504082,51946491997.33687,-25779943737.13542,92247804290.96953,54007334983.741165,-146704548375.72076,4067699204.224428,-141728220432.59064,-173628773411.98138,-639614340467.2194,-428501336146.556,-1308410008890.414,-529182670755.01,-976363192328.4773,-2667009064711.238,-3192799737216.597,3232712933997.145
-30949755.36936711,-11061646.315341972,57488830922.851776,-9530636445.454943,85244067100.27625,64531072169.87932,-146619452474.12955,-6756488443.729746,-134819657338.38002,-178991026486.17566,-636979245037.6895,-432396167666.1065,-1307100474069.286,-532397078066.52405,-974060533974.478,-2667850423426.35,-3194190605480.209,3231339342543.8843
