x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-6051520.852299017,-1584121.1616236705,-78061696277.57838,143501021801.79407,-104476873093.89742,-72734528760.84474,42961700317.39243,146599395831.4848,-225184014269.49182,17994839953.175156,-697450640422.6346,-326314607198.2684,-1338526858262.319,-447826743113.7756,-1033687792608.172,-2645327764995.2466,-3157839141989.654,3266859984560.7007
-6658371.577119157,-1760824.015226813,-88069707785.27806,143669299486.03177,-98948258062.30058,-83574539758.77159,32517427846.276,149964434707.81534,-225787477122.4205,9204013167.266521,-695441600507.0182,-330567601577.1908,-1337419603984.1743,-451116144449.60364,-1031403878472.5302,-2646218865434.641,-3159244519496.1675,3265501239437.0586
-7294256.069682392,-1949479.2174490853,-97766953471.9829,143298797077.44568,-92596335958.95708,-93783473413.34885,21892935968.047897,152622265193.17285,-226056283398.54428,392963526.9833288,-693406457159.7008,-334808282500.12177,-1336304166120.1304,-454402802299.94025,-1029119192472.5386,-2647107984814.1797,-3160649319924.2656,3264141897221.5137
-7959043.840523862,-2150363.8055366403,-107146396862.12082,142436307989.3062,-85508364957.37672,-103312428213.78171,11140241766.270323,154568452908.18256,-225990128613.4578,-8425238587.270299,-691345285827.5491,-339036490524.13727,-1335180551462.064,-457686696711.4256,-1026833736314.5713,-2647995122457.2075,-3162053543018.446,3262781958163.986
-8652603.204725742,-2363737.922915009,-116203596248.35872,141123494976.5476,-77770710969.36913,-112124003129.22737,310749466.2472305,155802755978.99622,-225589243542.4266,-17237529776.250187,-689258162921.6947,-343252066659.22754,-1334048766852.1555,-460967807746.1869,-1024547511705.5448,-2648880277688.495,-3163457188523.31,3261421422514.502
-9374803.2700721,-2589847.2836596183,-124936044892.87946,139397593883.7172,-69467622617.87418,-120191137388.853,-10545125020.436058,156328963346.96237,-224854394082.13947,-26030877541.918495,-687145165814.9719,-347454852374.0357,-1332908819182.819,-464246115481.917,-1022260520352.9172,-2649763449834.2393,-3164860256183.564,3260060290523.1924
-10125515.24721465,-2828925.579966753,-133342675574.03543,137292013115.16464,-60680308060.22261,-127495920074.9747,-21378299740.816994,156154695295.6697,-223786879861.7132,-34792304302.62966,-685006372839.316,-351644689601.5886,-1331760715396.6357,-467521600011.9537,-1019972763964.6864,-2650644638222.0635,-3166262745744.019,3258698562440.2935
-10904613.194184972,-3081196.724894676,-141423486340.63242,134836843795.5009,-51486275833.588104,-134028421213.08846,-32141338445.291256,155291171704.2451,-222388531593.16263,-43508911424.58438,-682841863283.1249,-355821420745.0191,-1330604462486.2842,-470794241445.36066,-1017684244249.3892,-2651523842181.019,-3167664656949.591,3257336238516.1475
-11711974.309472544,-3346876.8610332673,-149179256304.73608,132059294211.14613,-41958898985.56401,-139785580807.4763,-42788725427.083244,153752954004.48422,-220661707156.66205,-52167903189.66614,-680651717388.5847,-359984888683.28094,-1329440067494.468,-474064019907.009,-1015394962916.0997,-2652401061041.5884,-3169065989545.3003,3255973319001.2017
-12547478.881649218,-3626176.09768827,-156611328781.5351,128984060407.17668,-32167162374.855984,-144770179370.4814,-53277101546.212776,151557666890.4434,-218609286411.54257,-60756610617.55935,-678436016348.9629,-364134936776.8565,-1328267537513.8472,-477330915537.6595,-1013104921674.4287,-2653276294135.6816,-3170466743276.2734,3254609804146.0083
-13411009.992203582,-3919299.9641390922,-163721445132.22556,125633643092.24213,-22175555925.322186,-148989903166.88947,-63565460593.88778,148725705882.41415,-216234664735.182,-69262515059.06248,-676194842305.868,-368271408873.4549,-1327086879686.964,-480594908494.04645,-1010814122234.5219,-2654149540796.642,-3171866917887.7407,3253245694201.225
-14302453.05432343,-4226450.584882047,-170511617011.64658,122028619423.9328,-12044080785.08657,-152456509543.44614,-73615306137.45,145279936611.76343,-213541745298.30533,-77673271477.05397,-673928278346.4796,-372394149313.702,-1325898101206.1729,-483855978948.96265,-1008522566307.058,-2655020800359.2446,-3173266513125.039,3251880989417.6147
-15221695.255669242,-4547827.595313352,-176984027868.688,118187876860.45357,-1828340036.7602634,-155185092048.4493,-83390769865.56519,141245391300.55023,-210534930091.79672,-85976731331.71333,-671636408500.7462,-376503002936.8198,-1324701209313.565,-487114107091.34485,-1006230255603.2485,-2655890072159.6973,-3174665528733.6094,3250515690046.045
-16168624.958973614,-4883628.824051831,-183140956842.3246,114128815079.24081,8420309683.804256,-157193441196.67773,-92858693203.6624,136648967417.95642,-207219109726.79092,-94160964987.36537,-669319317738.5542,-380597815086.2953,-1323496211300.897,-490369273126.36005,-1003937191834.8357,-2656757355535.6426,-3176063964459.0,3249149796337.4883
