x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-12111062.454087548,-3533163.007160033,-129606048116.2161,80567803256.6672,-52552210054.8665,-133241857929.75229,-38735378229.12782,159278018936.57318,-223636708392.02725,-56739391874.86079,-678850176856.5944,-364267746786.3264,-1328391789827.5193,-477365423680.5456,-1013116982322.4199,-2653305621210.1714,-3170475267128.8257,3254618789153.07
-12959624.520424107,-3821303.1170222457,-135416303491.99455,73208422347.19658,-42823833718.48373,-138332079408.3474,-48933422394.61821,157287942254.83426,-221552067645.83066,-65163681933.112816,-676623098752.8333,-368408801286.0015,-1327215288794.4768,-480630571556.2733,-1010826585156.5637,-2654179845864.221,-3171875725890.111,3253254978753.036
-13836239.257139053,-4123501.847366722,-140596614055.45413,65483251147.12095,-32821915302.545414,-142644140388.62704,-58962443630.53287,154687138720.15466,-219157619307.81393,-73503130851.5149,-674370658222.1001,-372536141883.31714,-1326030668575.5076,-483892797468.6836,-1008535431525.0935,-2655052083463.22,-3173275605279.768,3251890573518.193
-14740776.274479587,-4439979.707648619,-145136558344.53983,57436092383.82194,-22609958206.50787,-146176848740.2574,-68786476275.72092,151493281553.25848,-216457341982.5174,-81746340825.22609,-672092940013.4612,-376649614270.924,-1324837936458.1064,-487152081632.0458,-1006243523139.7186,-2655922333344.8823,-3174674905043.349,3250525573699.514
-15673104.709400073,-4770951.324831889,-149027197461.28067,49109444015.190895,-12248877089.471525,-148933529595.82236,-78371395622.79317,147726031747.538,-213455638290.98355,-89882110164.24376,-669790029802.2611,-380749064660.1849,-1323637099779.2773,-490408404277.21326,-1003950861712.6757,-2656790594848.357,-3176073624926.511,3249159979548.0786
-16633093.373434165,-5116626.102014661,-152260888955.23044,40544728278.27799,-1796843607.0551949,-150921540648.73026,-87685006808.87646,143406852601.41998,-210157325166.4652,-97899449681.45097,-667462014187.0461,-384834339786.63983,-1322428165925.4575,-493661745651.7093,-1001657448956.7268,-2657656867314.2305,-3177471764675.0166,3247793791315.0703
-17620610.81419386,-5477208.79797184,-154831143476.81888,31782510615.934437,8690813053.468529,-152151818474.6058,-96697115452.999,138558823780.32562,-206567623451.80438,-105787598599.8081,-665108980686.459,-388905286915.4577,-1321211142332.441,-496912086019.814,-999363286585.1588,-2658521150084.5264,-3178869324034.7344,3246427009251.7773
-18635525.31122958,-5852900.027841184,-156732518829.3618,22862709239.011497,19161659844.525185,-152638458008.43198,-105379580787.90738,133206456675.43596,-202692146823.591,-113536039942.99333,-662731017736.1061,-392961753846.8733,-1319986036485.302,-500159405662.6521,-997068376311.7815,-2659383442502.707,-3180266302751.639,3245059633609.593
-19677704.82414976,-6243896.687799055,-157960547392.8587,13824796200.19047,29566175873.77669,-152398326038.32935,-113706352194.77037,127375512653.77081,-198536890070.48843,-121134515375.26523,-660328214685.3964,-397003588921.609,-1318752855918.3186,-503403684878.2814,-994772719850.9261,-2660243743913.6753,-3181662700571.811,3243691664640.0146
-20747016.908103555,-6650392.308439723,-158511694027.55237,4707990855.327227,39857737998.188805,-151450708590.86813,-121653490178.27087,121092825610.7872,-194108216755.28067,-128573039457.96602,-657900661794.3531,-401030641026.2809,-1317511608214.8948,-506644903981.78235,-992476318917.4447,-2661102053663.7744,-3183058517241.437,3242323102594.645
