t,T1,T2,T3,T4,T5,T6,T7,T8,T9
0.92,19.43322124507228,29.549340482482947,30.010524426387242,19.914759337813067,22.69527981954841,27.023641479538583,47.89236358709879,18.821751359604303,-2.461909659842993
0.9400000000000001,18.774004750509178,28.836316081930853,30.037264978810683,19.951701468500595,22.68687643647459,26.83122324439506,49.56204429671189,22.119474554046278,-1.0109308708812215
0.96,18.119877244902487,28.08022106273047,30.015569550378977,19.988528812379062,22.678762048949853,26.623269355337843,51.106410544897685,25.423569116808938,0.5570961868814976
0.98,17.47397020046375,27.284652398154073,29.94551661742425,20.02506073095603,22.670955046712223,26.400780666127197,52.51805663342249,28.718202243323265,2.2346679206289735
1.0,16.839377214798255,26.453397738121485,29.827416216352706,20.061117926025783,22.663472334489896,26.164827746328015,53.790212598717815,31.987585338917462,4.01375512690686
1.02,16.219139178093858,25.590417362489077,29.661808569511816,20.09652329896064,22.656329250787095,25.916545752764403,54.91677673091788,35.216049727604215,5.885841445488696
1.04,15.616229682509283,24.69982530015323,29.449461612643795,20.131102800039603,22.649539494130032,25.657128991401205,55.892344909357185,38.388121811328865,7.841964147971905
1.06,15.033540761699175,23.785869707002135,29.19136741825387,20.164686262770743,22.643115057330743,25.38782519557664,56.71223652692322,41.488597236066234,9.872757067673927
1.08,14.473869008444396,22.85291259138343,28.888737549454465,20.197108220318217,22.637066169861786,25.109929547658666,57.37251697284072,44.50261380579217,11.968495467405985
1.1,13.939902134699349,21.90540898319688,28.54299736799461,20.22820870024407,22.631401248593228,24.824778472752843,57.870016576140706,47.415722804834445,14.119142630773391
1.12,13.434206056833009,20.94788565024536,28.15577930707686,20.257833992759615,22.62612685733029,24.533743234402618,58.20234583330176,50.21395830056806,16.314397953302628
1.1400000000000001,12.959212554031073,19.9849194585944,27.728915151520095,20.285837389569025,22.621247675200454,24.23822336226894,58.36790690817144,52.8839041590793,18.543746308127385
1.16,12.517207562432668,19.021115485357168,27.264427363144332,20.31207988956428,22.616766474053517,23.93963994482102,58.365901344052475,55.41275843438023,20.796508438762736
1.18,12.110320162856667,18.061084984530957,26.764519486750352,20.33643086791124,22.612684105025807,23.639428817700225,58.196333932785045,57.78839481460747,23.061892148734067
1.2,11.740512314181654,17.10942331330924,26.231565685284572,20.35876870535211,22.60899949431003,23.33903368119891,57.86001273224291,59.99942083209747,25.329044036898427
1.22,11.409569381734494,16.170687924124103,25.66809945363734,20.378981374702605,22.605709648152434,23.03989917973795,57.35854523188216,62.03523255660617,27.58710153122095
1.24,11.119091508195146,15.249376528613675,25.07680156351455,20.396966981617506,22.602809667071234,22.74346397668874,56.694330677762544,63.88606549874497,29.825244970169273
1.26,10.870485863960223,14.349905534282424,24.46048729820932,20.41263425728362,22.60029276919307,22.451153856752114,55.87054860868828,65.54304150039692,32.03274948898356
1.28,10.664959821644409,13.476588864017817,23.822093036807736,20.42590300025085,22.598150322644504,22.16437489083114,54.89114363946629,66.99821135054754,34.19903644771962
1.3,10.503515081591482,12.633617254279915,23.164662252966192,20.4367044656174,22.5963718868012,21.88450669460872,53.760806581947996,68.24459295111201,36.31372416543947
1.32,10.386942778450704,11.82503813328031,22.491330995316854,20.444981699594628,22.594945262204313,21.612895813733715,52.484951992430304,69.27620484201181,38.36667771228442
1.34,10.315819596884603,11.05473617680759,21.805312915139943,20.45068981759688,22.593856548950285,21.350849267392395,51.06969223478241,70.08809490462211,40.34805751966017
1.36,10.29050490984834,10.326414633822287,21.10988391775905,20.453796224804474,22.593090213213816,21.09962828116585,49.52180820977178,70.67636413273225,42.24836657482552
1.3800000000000001,10.311138954614975,9.64357751026177,20.4083665085329,20.454280778068483,22.592629161605,20.860442238673837,47.8487168830067,71.03818535438967,44.0584959771866
1.4000000000000001,10.377642060981195,9.009512701170772,19.7041139068013,20.452135888059566,22.592454823043457,20.634442882147958,46.05843575188004,71.17181679011178,45.76976862859821
1.42,10.489714927750477,8.427276146860255,19.00049400729335,20.447366561596642,22.592547237690013,20.422718788389883,44.15954444978112,71.07661042438151,47.37398085768628
1.44,10.646839950520775,7.8996770910214416,18.30087326298493,20.43999038371238,22.59288515254801,20.226290146856652,42.16114365599572,70.75301513393636,48.863441776433056
1.46,10.848283616428926,7.42926453226224,17.60860056274601,20.430037438287563,22.593446123424386,20.046103870392887,40.07281144884037,70.20257445213255,50.23101013838644
1.48,11.093099879558745,7.018314867610908,16.926991198613578,20.417550171879366,22.59420662222003,19.883029044299448,37.90455752990811,69.42791935916453,51.47012865631739
1.5,11.38013462865062,6.668820901583654,16.259310970471024,20.4025831941409,22.595142149947495,19.73785276579365,35.66677517047084,68.43275549861696,52.574855385578246
1.52,11.708031081739753,6.382482138032406,15.608760530459518,20.385203023984136,22.596227353937472,19.611276357141815,33.37019151077517,67.22184560724682,53.53989230159007
